player_name,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,nb_saisons,country,is_french,is_european,continent
Eric Washington,24.5,193.04,86.18,52.0,6.55,2.1,1.0,-12.2,0.04,0.07,0.16,0.5,0.08,2,USA,False,False,Amérique du Nord
Eric Williams,29.0,203.2,99.79,54.0,8.64,3.12,1.45,-2.2,0.05,0.11,0.18,0.51,0.1,11,USA,False,False,Amérique du Nord
Erick Barkley,23.5,185.42,80.29,13.5,2.75,0.65,1.3,-4.65,0.01,0.08,0.24,0.42,0.24,2,USA,False,False,Amérique du Nord
Erick Dampier,28.5,210.82,120.2,61.69,6.98,6.71,0.82,0.11,0.12,0.2,0.15,0.52,0.06,16,USA,False,False,Amérique du Nord
Erick Green,24.5,193.04,83.91,26.0,2.4,0.7,0.6,-6.25,0.05,0.09,0.17,0.45,0.14,2,USA,False,False,Amérique du Nord
Erick Strickland,27.0,190.5,96.06,55.67,7.58,2.62,2.33,-1.01,0.02,0.12,0.2,0.5,0.2,9,USA,False,False,Amérique du Nord
Erik Daniels,23.0,203.2,97.07,21.0,0.6,0.9,0.2,-23.2,0.09,0.16,0.14,0.36,0.12,1,USA,False,False,Amérique du Nord
Erik McCree,24.0,203.2,102.06,4.0,0.0,0.3,0.0,-45.4,0.0,0.2,0.16,0.0,0.0,1,USA,False,False,Amérique du Nord
Erik Murphy,23.0,208.28,104.33,24.0,0.3,0.3,0.1,-40.0,0.03,0.11,0.11,0.23,0.06,1,USA,False,False,Amérique du Nord
Ersan Ilyasova,27.85,207.69,106.59,63.46,9.73,5.42,1.03,0.22,0.07,0.19,0.19,0.54,0.07,13,Turkey,False,True,Europe
Ervin Johnson,33.5,210.82,112.94,65.5,3.73,5.9,0.43,-1.36,0.11,0.22,0.1,0.52,0.03,10,USA,False,False,Amérique du Nord
Esteban Batista,22.5,208.28,122.02,35.0,1.65,2.4,0.2,-12.0,0.12,0.26,0.13,0.51,0.06,2,Uruguay,False,False,Amérique du Sud
Etan Thomas,28.33,208.28,117.93,45.44,4.98,4.1,0.28,-6.77,0.1,0.21,0.16,0.54,0.03,9,USA,False,False,Amérique du Nord
Etdrick Bohannon,26.5,205.74,101.49,6.5,0.88,1.2,0.15,-5.93,0.12,0.16,0.14,0.33,0.05,4,USA,False,False,Amérique du Nord
Eugene Omoruyi,25.5,198.12,106.59,22.0,4.4,2.3,0.6,5.0,0.09,0.19,0.17,0.53,0.12,2,Nigeria,False,False,Afrique
Evan Eschmeyer,26.5,210.82,115.67,38.25,2.33,3.32,0.48,-1.07,0.11,0.19,0.11,0.48,0.06,4,USA,False,False,Amérique du Nord
Evan Fournier,25.5,199.59,92.61,60.58,12.86,2.57,2.46,-1.83,0.01,0.09,0.21,0.56,0.14,12,France,True,True,Europe
Evan Mobley,21.5,210.82,97.52,74.0,15.6,8.65,2.65,4.1,0.07,0.19,0.2,0.57,0.12,2,USA,False,False,Amérique du Nord
